"data_source","signal","geo_value","time_value","source","geo_type","time_type","issue","lag","missing_value","missing_stderr","missing_sample_size","value","stderr","sample_size"
"jhu-csse","deaths_incidence_num","us",2020-06-15,"jhu-csse","nation","day",2023-03-03,991,0,5,5,398,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-06-16,"jhu-csse","nation","day",2023-03-03,990,0,5,5,775,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-06-17,"jhu-csse","nation","day",2023-03-03,989,0,5,5,741,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-06-18,"jhu-csse","nation","day",2023-03-03,988,0,5,5,697,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-06-19,"jhu-csse","nation","day",2023-03-09,993,0,5,5,627,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-06-20,"jhu-csse","nation","day",2023-03-03,986,0,5,5,563,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-06-21,"jhu-csse","nation","day",2023-03-03,985,0,5,5,319,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-06-22,"jhu-csse","nation","day",2023-03-03,984,0,5,5,379,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-06-23,"jhu-csse","nation","day",2023-03-03,983,0,5,5,730,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-06-24,"jhu-csse","nation","day",2023-03-03,982,0,5,5,755,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-06-25,"jhu-csse","nation","day",2023-03-03,981,0,5,5,552,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-06-26,"jhu-csse","nation","day",2023-03-03,980,0,5,5,630,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-06-27,"jhu-csse","nation","day",2023-03-03,979,0,5,5,500,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-06-28,"jhu-csse","nation","day",2023-03-03,978,0,5,5,324,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-06-29,"jhu-csse","nation","day",2023-03-03,977,0,5,5,369,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-06-30,"jhu-csse","nation","day",2023-03-09,982,0,5,5,551,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-07-01,"jhu-csse","nation","day",2023-03-03,975,0,5,5,702,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-07-02,"jhu-csse","nation","day",2023-03-03,974,0,5,5,749,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-07-03,"jhu-csse","nation","day",2023-03-09,979,0,5,5,678,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-07-04,"jhu-csse","nation","day",2023-03-09,978,0,5,5,311,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-07-05,"jhu-csse","nation","day",2023-03-03,971,0,5,5,329,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-07-06,"jhu-csse","nation","day",2023-03-03,970,0,5,5,381,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-07-07,"jhu-csse","nation","day",2023-03-03,969,0,5,5,1141,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-07-08,"jhu-csse","nation","day",2023-03-03,968,0,5,5,839,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-07-09,"jhu-csse","nation","day",2023-03-09,973,0,5,5,1039,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-07-10,"jhu-csse","nation","day",2023-03-09,972,0,5,5,806,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-07-11,"jhu-csse","nation","day",2023-03-03,965,0,5,5,760,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-07-12,"jhu-csse","nation","day",2023-03-03,964,0,5,5,473,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-07-13,"jhu-csse","nation","day",2023-03-03,963,0,5,5,444,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-07-14,"jhu-csse","nation","day",2023-03-09,968,0,5,5,904,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-07-15,"jhu-csse","nation","day",2023-03-09,967,0,5,5,954,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-07-16,"jhu-csse","nation","day",2023-03-09,966,0,5,5,979,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-07-17,"jhu-csse","nation","day",2023-03-09,965,0,5,5,923,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-07-18,"jhu-csse","nation","day",2023-03-09,964,0,5,5,889,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-07-19,"jhu-csse","nation","day",2023-03-03,957,0,5,5,482,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-07-20,"jhu-csse","nation","day",2023-03-03,956,0,5,5,535,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-07-21,"jhu-csse","nation","day",2023-03-09,961,0,5,5,1095,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-07-22,"jhu-csse","nation","day",2023-03-03,954,0,5,5,1221,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-07-23,"jhu-csse","nation","day",2023-03-03,953,0,5,5,1073,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-07-24,"jhu-csse","nation","day",2023-03-09,958,0,5,5,1093,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-07-25,"jhu-csse","nation","day",2023-03-03,951,0,5,5,964,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-07-26,"jhu-csse","nation","day",2023-03-03,950,0,5,5,548,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-07-27,"jhu-csse","nation","day",2023-03-03,949,0,5,5,1104,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-07-28,"jhu-csse","nation","day",2023-03-03,948,0,5,5,1215,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-07-29,"jhu-csse","nation","day",2023-03-03,947,0,5,5,1432,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-07-30,"jhu-csse","nation","day",2023-03-03,946,0,5,5,1312,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-07-31,"jhu-csse","nation","day",2023-03-09,951,0,5,5,1161,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-08-01,"jhu-csse","nation","day",2023-03-03,944,0,5,5,1121,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-08-02,"jhu-csse","nation","day",2023-03-03,943,0,5,5,476,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-08-03,"jhu-csse","nation","day",2023-03-09,948,0,5,5,561,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-08-04,"jhu-csse","nation","day",2023-03-03,941,0,5,5,1248,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-08-05,"jhu-csse","nation","day",2023-03-03,940,0,5,5,1415,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-08-06,"jhu-csse","nation","day",2023-03-03,939,0,5,5,1181,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-08-07,"jhu-csse","nation","day",2023-03-03,938,0,5,5,1295,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-08-08,"jhu-csse","nation","day",2023-03-09,943,0,5,5,1090,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-08-09,"jhu-csse","nation","day",2023-03-03,936,0,5,5,581,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-08-10,"jhu-csse","nation","day",2023-03-03,935,0,5,5,528,NA,NA
